id	atomic_number	sym	abund_elem	mass_number	mass	abundance	half_life	is_radioactive
1	1	H	108000.0	1	1.0078250322	0.99972	Inf	false
2	1	H	108000.0	2	2.0141017781	0.00028	Inf	false
3	2	He	0.008	3	3.01602932	2.0e-6	Inf	false
4	2	He	0.008	4	4.0026032541	0.9999979999999999	Inf	false
5	3	Li	20.0	6	6.015122887	0.078	Inf	false
6	3	Li	20.0	7	7.01600344	0.922	Inf	false
7	4	Be	2.8	9	9.0121831	1.0	Inf	false
8	5	B	10.0	10	10.012937	0.204	Inf	false
9	5	B	10.0	11	11.009305	0.7959999999999999	Inf	false
10	6	C	200.0	12	12.0	0.9884	Inf	false
11	6	C	200.0	13	13.003354835	0.0116	Inf	false
12	7	N	19.0	14	14.003074004	0.9957799999999999	Inf	false
13	7	N	19.0	15	15.000108899	0.004220000000000001	Inf	false
14	8	O	857000.0	16	15.99491462	0.9973799999999999	Inf	false
15	8	O	857000.0	17	16.999131757	0.0004	Inf	false
16	8	O	857000.0	18	17.999159613	0.0022199999999999998	Inf	false
17	9	F	585.0	19	18.998403163	1.0	Inf	false
18	10	Ne	0.005	20	19.99244018	0.9048	Inf	false
19	10	Ne	0.005	21	20.9938467	0.0027	Inf	false
20	10	Ne	0.005	22	21.9913851	0.0925	Inf	false
21	11	Na	23600.0	23	22.98976928	1.0	Inf	false
22	12	Mg	23300.0	24	23.9850417	0.7888	Inf	false
23	12	Mg	23300.0	25	24.985837	0.10034	Inf	false
24	12	Mg	23300.0	26	25.982593	0.1109	Inf	false
25	13	Al	82300.0	27	26.9815385	1.0	Inf	false
26	14	Si	282000.0	28	27.976926535	0.92191	Inf	false
27	14	Si	282000.0	29	28.976494665	0.04699	Inf	false
28	14	Si	282000.0	30	29.97377001	0.0311	Inf	false
29	15	P	1050.0	31	30.973761998	1.0	Inf	false
30	16	S	905.0	32	31.972071174	0.9441	Inf	false
31	16	S	905.0	33	32.97145891	0.00797	Inf	false
32	16	S	905.0	34	33.967867	0.0477	Inf	false
33	16	S	905.0	36	35.967081	0.00018700000000000002	Inf	false
